"sku","Título","path","descripcion","estanteria","imagesPath","cost","precio_venta_sin_IVA","old_price","edad","editorial","duracion","dificultad","oferta","nivel","publicado","jugadores","umbral","categoria","tipo"
"Arkham HorrorLCGInvestigatorDeckTomeOrange","Arkham Horror Investigator Deck Tome Seeker Orange","/arkham-horror-lcg-investigator-deck-tome-seeker-orange","
	Gamegenic presenta la primera caja para mazos prémium oficial diseñada específicamente para los fans de Arkham Horror: El Juego de Cartas™.
	
	Esta caja para mazos exclusiva de Arkham Horror tiene el tamaño perfecto para el mazo de Investigador completo, incluso si las cartas tienen una sola funda. Podrás identificar tu mazo único de un vistazo sin necesidad de abrir la caja gracias al diseño de la caja, que te permitirá ver el retrato del Investigador, su nombre, su clase y sus rasgos. Además, cada caja incluye un separador de cartas de color a juego.
	
	El modelo Arkham Horror Investigator Deck Tome está disponible en 6 colores diferentes, uno para clase de Investigador (Guardián, Buscador, Experto, Místico, Superviviente), así como Neutro. Cabe perfectamente en los modelos Dungeon 1100+, Dungeon S 550+ y Games’ Lair 600+.


	
	


	
	¡El producto que los fans de Arkham Horror: El Juego de Cartas™ llevaban esperando mucho tiempo!
	
	Características:


	
		CAJA PARA MAZOS PRÉMIUM OFICIAL con diseños de colores para cada Investigador.
	
		Cabe un mazo completo de Investigador, incluso con fundas.
	
		Diseñado para contener 60 cartas enfundadas individualmente.
	
		Podrás ver el retrato del Investigador, la clase, el nombre y los rasgos fácilmente sin abrir la caja.
	
		Incluye un separador de cartas de color a juego.
	
		Logo de Arkham Horror™ estampado al calor.
	
		Compartimento especialmente diseñado para acceder a todas y cada una de las cartas fácilmente.
	
		Imanes potentes para un cierre seguro y preciso.
	
		Cabe perfectamente en los modelos Dungeon 1100+, Dungeon S 550+ y Games’ Lair 600+.

","X3","http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-seeker-orange-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-seeker-orange-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-seeker-orange-2-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-seeker-orange-3-comprar-barato.jpg","16.305","18.925","","+14 años","Fantasy Flight","60-120 min","6","No","0","Sí","2-4","4","Arkham Horror LCG Series, Accesorios, Actuales","Juegos de Mesa"
"Arkham HorrorLCGInvestigatorDeckTomeGreen","Arkham Horror Investigator Deck Tome Rogue Green","/arkham-horror-lcg-investigator-deck-tome-rogue-green","
	Gamegenic presenta la primera caja para mazos prémium oficial diseñada específicamente para los fans de Arkham Horror: El Juego de Cartas™.
	
	Esta caja para mazos exclusiva de Arkham Horror tiene el tamaño perfecto para el mazo de Investigador completo, incluso si las cartas tienen una sola funda. Podrás identificar tu mazo único de un vistazo sin necesidad de abrir la caja gracias al diseño de la caja, que te permitirá ver el retrato del Investigador, su nombre, su clase y sus rasgos. Además, cada caja incluye un separador de cartas de color a juego.
	
	El modelo Arkham Horror Investigator Deck Tome está disponible en 6 colores diferentes, uno para clase de Investigador (Guardián, Buscador, Experto, Místico, Superviviente), así como Neutro. Cabe perfectamente en los modelos Dungeon 1100+, Dungeon S 550+ y Games’ Lair 600+.


	
	


	
	¡El producto que los fans de Arkham Horror: El Juego de Cartas™ llevaban esperando mucho tiempo!
	
	Características:


	
		CAJA PARA MAZOS PRÉMIUM OFICIAL con diseños de colores para cada Investigador.
	
		Cabe un mazo completo de Investigador, incluso con fundas.
	
		Diseñado para contener 60 cartas enfundadas individualmente.
	
		Podrás ver el retrato del Investigador, la clase, el nombre y los rasgos fácilmente sin abrir la caja.
	
		Incluye un separador de cartas de color a juego.
	
		Logo de Arkham Horror™ estampado al calor.
	
		Compartimento especialmente diseñado para acceder a todas y cada una de las cartas fácilmente.
	
		Imanes potentes para un cierre seguro y preciso.
	
		Cabe perfectamente en los modelos Dungeon 1100+, Dungeon S 550+ y Games’ Lair 600+.

","Por asignar","http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-rogue-green-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-rogue-green-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-rogue-green-2-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-rogue-green-3-comprar-barato.jpg","16.305","18.925","","+14 años","Fantasy Flight","60-120 min","6","No","0","Sí","2-4","4","Arkham Horror LCG Series, Actuales","Juegos de Mesa"
"Arkham HorrorLCGInvestigatorDeckTomeRed","Arkham Horror Investigator Deck Tome Survivor Red","/node/7805","
	Gamegenic presenta la primera caja para mazos prémium oficial diseñada específicamente para los fans de Arkham Horror: El Juego de Cartas™.
	
	Esta caja para mazos exclusiva de Arkham Horror tiene el tamaño perfecto para el mazo de Investigador completo, incluso si las cartas tienen una sola funda. Podrás identificar tu mazo único de un vistazo sin necesidad de abrir la caja gracias al diseño de la caja, que te permitirá ver el retrato del Investigador, su nombre, su clase y sus rasgos. Además, cada caja incluye un separador de cartas de color a juego.
	
	El modelo Arkham Horror Investigator Deck Tome está disponible en 6 colores diferentes, uno para clase de Investigador (Guardián, Buscador, Experto, Místico, Superviviente), así como Neutro. Cabe perfectamente en los modelos Dungeon 1100+, Dungeon S 550+ y Games’ Lair 600+.


	
	


	
	¡El producto que los fans de Arkham Horror: El Juego de Cartas™ llevaban esperando mucho tiempo!
	
	Características:


	
		CAJA PARA MAZOS PRÉMIUM OFICIAL con diseños de colores para cada Investigador.
	
		Cabe un mazo completo de Investigador, incluso con fundas.
	
		Diseñado para contener 60 cartas enfundadas individualmente.
	
		Podrás ver el retrato del Investigador, la clase, el nombre y los rasgos fácilmente sin abrir la caja.
	
		Incluye un separador de cartas de color a juego.
	
		Logo de Arkham Horror™ estampado al calor.
	
		Compartimento especialmente diseñado para acceder a todas y cada una de las cartas fácilmente.
	
		Imanes potentes para un cierre seguro y preciso.
	
		Cabe perfectamente en los modelos Dungeon 1100+, Dungeon S 550+ y Games’ Lair 600+.

","X3","http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-survivor-red-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-survivor-red-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-survivor-red-2-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-survivor-red-3-comprar-barato.jpg","16.305","18.925","","+14 años","Fantasy Flight","60-120 min","6","No","0","Sí","2-4","3","Arkham Horror LCG Series, Accesorios, Actuales","Juegos de Mesa"
"Arkham HorrorLCGInvestigatorDeckTomeBlue","Arkham Horror Investigator Deck Tome Guardian Blue","/arkham-horror-lcg-investigator-deck-tome-guardian-blue","
	Gamegenic presenta la primera caja para mazos prémium oficial diseñada específicamente para los fans de Arkham Horror: El Juego de Cartas™.
	
	Esta caja para mazos exclusiva de Arkham Horror tiene el tamaño perfecto para el mazo de Investigador completo, incluso si las cartas tienen una sola funda. Podrás identificar tu mazo único de un vistazo sin necesidad de abrir la caja gracias al diseño de la caja, que te permitirá ver el retrato del Investigador, su nombre, su clase y sus rasgos. Además, cada caja incluye un separador de cartas de color a juego.
	
	El modelo Arkham Horror Investigator Deck Tome está disponible en 6 colores diferentes, uno para clase de Investigador (Guardián, Buscador, Experto, Místico, Superviviente), así como Neutro. Cabe perfectamente en los modelos Dungeon 1100+, Dungeon S 550+ y Games’ Lair 600+.


	
	


	
	¡El producto que los fans de Arkham Horror: El Juego de Cartas™ llevaban esperando mucho tiempo!
	
	Características:


	
		CAJA PARA MAZOS PRÉMIUM OFICIAL con diseños de colores para cada Investigador.
	
		Cabe un mazo completo de Investigador, incluso con fundas.
	
		Diseñado para contener 60 cartas enfundadas individualmente.
	
		Podrás ver el retrato del Investigador, la clase, el nombre y los rasgos fácilmente sin abrir la caja.
	
		Incluye un separador de cartas de color a juego.
	
		Logo de Arkham Horror™ estampado al calor.
	
		Compartimento especialmente diseñado para acceder a todas y cada una de las cartas fácilmente.
	
		Imanes potentes para un cierre seguro y preciso.
	
		Cabe perfectamente en los modelos Dungeon 1100+, Dungeon S 550+ y Games’ Lair 600+.

","X3","http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-guardian-blue-2-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-guardian-blue-1-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-guardian-blue-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/arkham-horror-lcg-investigator-deck-tome-guardian-blue-3-comprar-barato.jpg","16.305","18.925","","+14 años","Fantasy Flight","60-120 min","6","No","0","Sí","2-4","4","Arkham Horror LCG Series, Accesorios, Actuales","Juegos de Mesa"
"PequeñasGrandesGalaxiasBeyondBlack","Pequeñas Grandes Galaxias: Beyond the Black (PREVENTA)","/pequenas-grandes-galaxias-beyond-the-black","
	Vuestras galaxias se han expandido hasta la extensión del espacio conocido. Os solapáis con vuestros rivales y lucháis con uñas y dientes por los planetas fértiles. Ahora es el momento de ampliar los horizontes. Ahora es el momento de mejorar tus naves hasta los límites de la tecnología actual, y prepararlas con los valientes pilotos. Ahora es el momento de ir más allá de la profunda negrura del espacio, hacia el universo verdaderamente desconocido...
	
	En Pequeñas Grandes Galaxias: Beyond the Black, los jugadores tendrán acceso a cuatro nuevas naves con las que podrán mejorar sus naves originales. Para ello, tendrán que contratar a pilotos especializados. Hay muchos pilotos para contratar, cada uno de los cuales posee una habilidad especial única. Los pilotos también están especializados en las naves para las que están entrenados. Contratar al piloto adecuado para una nave reduce su coste. Cuantas más naves tenga un piloto, más débil será su habilidad especial. Los pilotos se contratan gastando dados no utilizados que se corresponden con los cuatro tipos de nave diferentes, y valen puntos de victoria durante el juego. Los pilotos se barajan en un mazo y se distribuyen como planetas.


	 


	Además, Pequeñas Grandes Galaxias: Beyond the Black introduce una opción de exploración al azar para los jugadores. Esto permite a los jugadores aventurarse más allá de los planetas y adentrarse en el espacio profundo, donde pueden encontrar planetas enanos que valen puntos de victoria, o materiales raros que producen recursos... o pueden encontrarse con amenazas cósmicas como tormentas solares, agujeros negros e incluso supernovas. En cualquier caso, explorar el espacio profundo proporciona al jugador insignias de exploración. Estas insignias se contabilizan al final de la partida y los jugadores reciben puntos de victoria extra en función de quién tenga más de un determinado tipo de insignia. Hay cuatro tipos de insignias para coleccionar.
	 


	
	¡Pequeñas Grandes Galaxias: Beyond the Black también viene con planetas adicionales y nuevas y emocionantes misiones secretas para explorar!
","PREVENTA","http://tablerumdrupal.com/sites/tablerumcom/files/pequenas-grandes-galaxias-beyond-the-black-comprar-barato.jpg","13.037000000000001","16.487","25","+14 años","devir","40min","6","Si","18","Sí","1-5","24","Expansiones, PREventa, Actuales","Juegos de Mesa"
"LasAventurasDeRobinHoodFrayTuckPeligro","Las Aventuras de Robin Hood: Fray Tuck en Peligro (PREVENTA)","/las-aventuras-de-robin-hood-fray-tuck-en-peligro","
	Nuevas aventuras aguardan a Robin Hood y sus compañeros tras el regreso del rey Ricardo. Fray Tuck llega para ayudarles en sus tareas con sus habilidades especiales. Pero, de repente, el oeste de Nottinghamshire es atacado por extraños guerreros... y viejos adversarios volverán a ser enemigos acérrimos. ¿Podrán Robin Hood y sus amigos salvar al rey Ricardo una vez más? 


	 


	Esta expansión contiene cuatro nuevas aventuras en un tablero de juego aún más grande, en el que hay mucho por descubrir.


	 


	Características:


	
		Juego de expansión cooperativo basado en la historia.
	
		Trabaja con el fraile Tuck para encontrar la corona perdida del rey Ricardo y demostrar que es el verdadero rey.
	
		Una historia interactiva y envolvente que te hará sentir parte de este cuento clásico.
	
		Mecánica innovadora que permite a los jugadores moverse libremente por el tablero

","PREVENTA","http://tablerumdrupal.com/sites/tablerumcom/files/las-aventuras-de-robin-hood-fray-tuck-en-peligro-comprar-barato.jpg","15.644","19.793","30","+10 años","devir","60min","6","Si","4","Sí","2-4","5","Expansiones, PREventa, Actuales","Juegos de Mesa"
"Zombicide2Supernatural1","Zombicide 2ªEd: Supernatural Character Pack #1","/zombicide-2ed-supernatural-pack-1","
	El Pack Sobrenatural nº 1 ofrece a los jugadores de Zombicide 2ª Edición cuatro nuevos personajes para usar: Sam y Dean Winchester son Supervivientes, mientras que el Vampiro Alfa y el Wendigo son Abominaciones.


	 


	 


	


	 


	Con figuras, cartas de identificación, cartas de Equipo, cartas de Abominación y cartas de reglas especiales, este pack está listo para añadir a cualquier partida de Zombicide 2ª edición.
","Novedades","http://tablerumdrupal.com/sites/tablerumcom/files/zombicide-2ed-supernatural-pack-1-comprar-barato.jpg","17.729","20.578","","+14 años","asmodee","60min","6","No","1","Sí","1-6","1","Expansiones, Zombicide-Series, Actuales","Juegos de Mesa"
"Zombicide2Supernatural2","Zombicide 2ªEd: Supernatural Character Pack #2","/zombicide-2ed-supernatural-pack-2","
	


	 


	Si hay alguna esperanza de supervivencia, Jack Kline, John Winchester y Bobby Singer deben luchar no sólo contra los zombis, sino también contra bestias como el Leviatán. Sólo poderosos artefactos como la Hoja del Ángel y el antiguo Cuchillo de Rubí tienen alguna posibilidad de volver a someter al mal.


	 


	 


	En este Pack, Jack Kline, John Winchester y Bobby Singer son Supervivientes, mientras que el Leviatán es una Abominación.
","Novedades","http://tablerumdrupal.com/sites/tablerumcom/files/zombicide-2ed-supernatural-pack-2-comprar-barato.jpg","17.729","20.578","","+14 años","asmodee","60min","6","No","1","Sí","1-6","1","Expansiones, Zombicide-Series, Actuales","Juegos de Mesa"
"CarcassonneLasApuestas","Carcassonne: Las Apuestas","/carcassonne-las-apuestas-devir","
	En esta miniexpansión apostarás por el número de losetas que crees que tendrá un camino o una ciudad en el momento de completarse. Así pues, influyendo en las zonas, podrás conseguir unos cuantos puntos extra.
","D7","http://tablerumdrupal.com/sites/tablerumcom/files/carcassonne-las-apuestas-comprar-barato_0.jpg","4.745","5.206","7","+8 años","devir","50min","5","Si","0","Sí","2-5","8","Expansiones, Accesorios","Juegos de Mesa"
"EXITKidsAcertijosEnLaJungla","EXIT Kids: Acertijos en la Jungla","/exit-kids-acertijos-en-la-jungla","
	¡Qué suerte habéis tenido! ¡Primero habéis descubierto una isla desconocida, y luego, en las profundidades de la jungla, habéis encontrado nueve misteriosos cofres! Pero habéis ido a parar a la Isla de los Acertijos, y los animales de la selva se divertirán proponiéndoos unos cuantos enigmas antes de poder abrir los cofres. ¿A qué estáis esperando? ¡Resolved los acertijos entre todos y descubrid qué se oculta en los cofres!


	 


	 


	Tanto si deciden probarlo solos como si prefieren hacerlo en grupo, los pequeños a partir de 5 años tratarán de resolver varios acertijos para abrir misteriosos cofres del tesoro. En cada ronda se combinan seis tipos diferentes de rompecabezas, que se muestran en 36 tarjetas ilustradas de gran formato. 


	 


	Así, este título es rejugable, ofreciendo una nueva experiencia de juego en cada ronda. 


	


	No es necesario saber leer para resolver los acertijos, de modo que se trata de una divertida introducción para que los jugadores jóvenes se inicien en la serie de juegos Exit. 


	 


	EXIT Kids: Acertijos en la jungla es un juego de escape cooperativo diseñado por Inka y Markus Brand, que se puede disfrutar en solitario o en un grupo de hasta 4 personas, a partir de 5 años, en partidas que pueden durar unos 20 minutos. A través de 36 cartas ilustradas de gran formato, 7 objetos especiales, 9 fichas de cofre, 6 fichas de llave y un disco de soluciones, los jugadores se divertirán resolviendo los acertijos que plantearán los animales de la jungla. 


	 


	La saga de juegos Exit nos trae en cada caja todo lo necesario para vivir la emoción de las mejores Escape room o salas de escape desde el salón de casa. Cada título tiene una temática y una historia completamente diferente en la que los jugadores son los protagonistas. Una aventura ideal para pasar una divertida tarde en solitario, en familia o entre amigos que pondrá a prueba la capacidad de observación, el ingenio y la creatividad de todos los participantes. 


	 


	El formato compacto y portátil de la caja convierten este juego en un compañero ideal para cualquier viaje. Con una dificultad de nivel principiante y pensado específicamente para jugar con los más pequeños de casa, EXIT Kids: Acertijos en la jungla es un título ideal para disfrutar en familia o para entretener a un grupo de pequeñas mentes inquietas. Los acertijos se basan en la agudeza visual, de modo que trabajarán habilidades como la concentración y la atención. ¿Podréis resolver los puzles que hay en las imágenes y abrir todos los cofres del tesoro?
","X4","http://tablerumdrupal.com/sites/tablerumcom/files/exit-kids-acertijos-en-la-jungla-comprar-barato.jpg, http://tablerumdrupal.com/sites/tablerumcom/files/exit-kids-acertijos-en-la-jungla-1-comprar-barato.jpg","10.171","11.157","15","+5 años","devir","20min","3","Si","0","Sí","1-4","2","Infantiles, Actuales","Juegos de Mesa"
